Plasma Cells,Macrophages,AT2 Cells,Club Cells,B Cells,T/NKT Cells,Monocytes,Dendritic Cells,Basal Cells,Mast Cells,Endothelial/Lymphatic Cells,Fibroblasts,AT1 Cells,Ciliated Cells
AES,AAK1,ZBTB8OS,TALDO1,NDUFS5,HSBP1,CDS1,RALA,PLBD1,TMC5,SEPN1,CYBB,KIFC3,GALNS
C19orf43,HTATIP2,PTPN18,SLC16A3,RPS20,SQSTM1,IRX2,CLDN3,ZFP36L2,CIB1,LTA4H,HCFC1R1,AQP1,DTX3
EIF3H,HIGD2A,RTN3,RAP1B,CLTC,NOP10,NPM1,ANKRD28,GADD45B,ICAM1,TRIM56,HILPDA,GCHFR,MDM1
SELENBP1,FLNA,MAP2K1,BLOC1S2,C5AR1,WAS,ARHGAP18,PGLS,FPR1,PARM1,CD163,DSEL,RPL13,RIBC2
PHLDA3,MAP3K8,GNA13,UBASH3B,PRDX5,RP11-138A9.1,TGM2,EPDR1,HLA-A,LMO4,BCL3,LY96,ACP5,SYTL1
LINC00116,SPOCD1,ARPC2,CTNNA1,RAB20,MAP3K13,G0S2,HMGB2,TAX1BP3,RNF13,CXCL17,IGF1R,CRY2,EFCAB12
TCF7L2,SLC43A2,RUNX1,CCDC85B,AZI2,LCP1,PPARG,CYTIP,CXCL16,LY6E,ARHGEF12,SERPINB1,GNAQ,U47924.27
HNRNPK,PLEC,SECTM1,GADD45B,ID1,RASGEF1B,CYP1B1,FHL1,TANC1,C19orf33,DHCR24,GUCY1A3,PARP14,RP11-395E19.6
RNF13,IL3RA,PTGER4,IFI27L2,MT-ND1,PDXK,TMEM261,GFPT1,VEZT,FAM89A,MARCO,CTSB,B4GAT1,TDRP
FCGR2A,SIGLEC1,MAF,TPM3,GSPT1,RASA2,HDDC2,STARD10,ITPRIPL2,ATP11A,SNX10,RP11-553L6.5,CTNND1,KIAA1671
BLVRA,SLC16A6,NAAA,XBP1,EMB,WIF1,ST3GAL5,PTPRF,UPP1,RP11-598F7.3,SFTA3,SAT1,RPS10,C4orf22
MAPK1,SCIMP,STX7,NFATC3,GNB2,LIMCH1,FHL1,RP11-386I14.4,TMSB10,SYNE1,VSIG4,C5AR1,SLC25A23,CFAP206
C4BPA,SPATS2L,LILRB2,SLC3A2,STXBP2,CLEC7A,PIK3AP1,SYK,RPS10,PLGRKT,LRRK2,SOCS3,RPS17,STPG1
AHR,MX1,GBP2,MSN,Sep-07,IPO7,GLS,IFI27,EVI2A,WSB1,HIF1A,ITGA2,C1QB,ENPP5
WIF1,MDM2,ELF1,CXCL3,CSF3R,PTTG1,NINJ1,LY96,RNASET2,GPX3,OLR1,SNX10,PDZK1IP1,SPPL2B
CAPNS1,NR1H3,RHBDD2,METTL7A,TSPAN4,RRBP1,HSD17B6,Sep-07,SARAF,CLDN4,CELF2,NME4,TMEM30B,DNAH1
CD52,ABRACL,GPATCH11,TLR4,MAP3K13,IER2,CAP1,HDDC2,RP11-598F7.3,CA2,GAPDH,HCST,TMC5,ERBB2
PDE4B,ZSCAN16-AS1,CD33,MYO1F,NACA,SPG21,EPDR1,RBP4,TXNIP,ATF3,ST6GAL1,ALDH2,PLEKHJ1,SLC27A2
FAM177A1,SNX6,LIMD2,TGFB1,DRAM2,UQCR10,POLR2I,IRF8,PTK2,NOP10,CLDN7,OLR1,HLA-DMB,VNN3
WNK1,CRTAP,IL10RA,ADGRE5,FAM129B,HMGN3,BATF,TM6SF1,TNS1,PMM1,TFRC,CALU,ITGB2,UCKL1-AS1
LPP,COX4I1,LASP1,DRAM2,AKNA,HMGB1,GOLIM4,LL22NC03-N95F10.1,TMEM43,SLC2A3,KTN1,SDC2,SUN1,CCDC81
C8orf4,HACD4,TMBIM1,UBC,SMIM22,PPARG,BNIP3,FHDC1,CTSD,DUOX1,MXD4,SUN2,RPL27A,LRBA
DDT,RARA,SFT2D1,DDAH2,FAM118A,RHOQ,CD36,TC2N,RPL36A,PLSCR1,DPYSL2,PPP1CB,NR2F6,DLGAP1-AS1
COX6A1,NTAN1,SUMO3,VPS29,WWTR1,H1F0,GRB2,RAB13,CKB,PCOLCE2,CTSB,MYADM,SAMHD1,KIAA2012
ENSA,RHEB,UNC93B1,MRPS25,MFSD2A,IFI6,ST8SIA4,EFEMP1,FAM210B,FXYD3,LRRC8C,MNDA,C5orf24,ANKRD65
MYH9,SCPEP1,APIP,LAMTOR2,ATP2C1,RAB11FIP1,LINC01272,SVIL,ARHGAP18,DAD1,AREG,PIM1,DVL1,CCDC96
TMBIM6,FFAR4,NECAP2,CLINT1,ACTN4,CD46,LILRB4,FN1,ELF3,EZR,CITED2,ATP6V0D1,FILIP1,CCDC60
ARL2,PKP2,SUPT4H1,SFT2D1,ADIRF,FASN,FERMT3,SLC6A14,MYL12A,TXN,LATS2,NPNT,DOCK5,CFAP47
ANAPC11,DENND4C,RIN3,PPP1R18,PGD,OPTN,MET,IDI1,HMOX1,CADM1,PTPRC,ATP6V0E1,PTK7,FAM102A
SPAG9,TBCA,ITGA5,COX7B,CLEC7A,PTPN12,C12orf57,FAM105A,AKAP13,EIF3D,GLUL,CYBA,MAGED1,FUZ
YWHAE,DYNC1I2,SRP14,TPM1,YBX1,NOSIP,MORF4L2,KCNJ15,DAAM1,PLA2G1B,ENDOD1,PLTP,MYO9A,DEGS2
AC090498.1,NECAP2,HEXA,ACSL1,SPAG9,RP11-598F7.3,PLBD1,CEACAM6,HPCAL1,SMIM22,LINC01272,TMBIM6,RPS16,NR2F1
TPP1,CLEC4E,DECR1,NFIX,MPZL2,ITGB2,SLC25A6,ANK3,GADD45A,MIR3945HG,GLRX,LGALS9,BMPR2,C16orf46
PLXDC2,TRIM14,LEPROT,GPR65,SOD3,KRT18,HACD1,SBDS,JAML,C6orf48,LAMC1,LAPTM4A,GLUL,ANKRD42
APRT,CDC37,KCNMA1,PRKCI,FOLR1,MRPL14,FLRT3,NFIB,AP1S2,CCNG2,PITPNC1,Sep-07,OAZ1,LMLN
KRT19,DENND5A,IDS,PRR13,CLDN4,APBB1IP,METTL9,EGFR,FLNB,SCNN1A,SFTPD,LGALS3,SIPA1L3,ANAPC4
LSM6,LEPROT,RBP7,ATP5G3,ACTN1,UBE2E2,CRB3,AP2S1,NDUFB1,GKN2,SMURF2,FGR,RP11-1143G9.4,RP11-122M14.1
MAOA,TAX1BP1,SCIMP,MGAT1,NEDD4L,ERGIC1,MARCO,IQGAP2,RERE,RBM39,TMEM109,CTTN,MIR4435-2HG,ABCC5
SMIM14,TMEM70,EIF3K,LY6E,F11R,TPP1,NPNT,PTPN18,RETN,SWAP70,COX7C,RHOB,GLIPR2,BCAS1
MS4A4A,GNA13,GDI2,PTAFR,TMEM258,ZFHX3,TNS1,AGRP,RNF130,RBPJ,HLA-DMB,TMEM176B,ARPC3,EPPIN
SFTPA2,TM6SF1,EMILIN2,OPN3,ATP5J,DENND2D,CAV1,HMGN1,MAP1LC3B,AQP4,CFD,GPSM3,ABHD2,CRY2
PGD,ZCCHC2,PRELID1,FAM49B,NDUFA6,SHTN1,SYNE2,ARPC2,PLXNB2,PIK3R1,SLC25A5,PRR13,RPS15,ALMS1
MPZL2,COA6,QKI,DUOXA1,LPCAT1,CDKN1B,AHCYL1,SEC62,ZFP36,CNN3,PIR,MAGED1,KIAA0319L,TTLL5
CYTIP,PSMB9,SEC14L1,BLOC1S1,YWHAG,GABARAP,MLLT4,GSTP1,EPHA2,BRK1,RP11-1143G9.4,MS4A4A,STX3,NEIL1
SPTSSA,SHTN1,TNNI2,TXN,INHBA,CNIH4,AXL,A1BG,SERBP1,CDS1,NCF2,RCN1,PABPC1,TJP3
LMO7,EPSTI1,DNAJB6,MAFB,KLF4,NCEH1,SNTB1,VAPA,HCK,IFITM2,PVRL2,ZBTB20,C9orf3,PIH1D3
GNS,TPM4,LSM6,PNPLA6,FN1,COLEC12,MECOM,FOXN3,PLA2G1B,STEAP4,CEBPB,CDKN1A,LATS2,CEP97
EIF3K,CCRL2,SAMD9L,S100A8,BIN1,MSMO1,SPTSSA,TRABD,HSD17B11,TUBB4B,H3F3B,LAMP3,LPCAT3,MAPK10
TGIF1,NANS,VMA21,AES,CRNDE,RTN3,DDAH1,OSBPL8,CD302,EIF4A2,PIGR,FXYD3,SPRED1,STOX1
PON2,ATP2B1,REEP5,CCDC6,IL18,TMEM14C,SLC43A2,FPR1,C1R,ST3GAL5,PEAK1,CLEC7A,IGSF6,IFI27
C19orf53,SYNGR2,GPD1,ATG3,SAR1A,NKX2-1,CA2,SUPT4H1,Sep-09,FAM46A,ALOX5,COX17,CEP170B,HHLA2
MTCH1,GTF3A,LHFPL2,TMEM147,SPG21,DST,ADH5,ERBB3,IP6K2,TREM2,MNDA,TUBB6,HSBP1L1,PLEKHB1
SERPINB6,GAPDH,ABHD5,OAT,PPP2CB,CTNND1,GSPT1,HIF1A,FAM83H,GLIPR1,SH3BGRL2,FOSL2,RPL35A,LXN
HM13,CEP170,GTF3A,LIMS1,LMO3,CCND2,TJP1,ZBTB8OS,MLPH,FPR2,ELMO1,SESN3,STK17A,ABO
TIMP2,PEPD,VOPP1,REEP5,CAPN2,C8orf4,FDFT1,TJP1,HCLS1,CD36,C1orf54,SPINT2,NCF2,CEP162
SYVN1,MT-ND5,FGD2,DNASE2,RPA2,LMO3,USP15,FOXA2,FAM3C,TMEM97,PPDPF,PGC,GSE1,DNAJB13
RPL4,CMC2,NMB,CD55,CISD3,CLTC,SCIMP,ERLEC1,MAST4,LYAR,MCEMP1,AGR3,ATF3,BCYRN1
PYCARD,LARP7,DBNL,COX5A,ATP6V1B2,CASP8,TLE4,CTNNB1,HMGN1,MS4A4A,MAL2,SMCO4,MYL12A,TEKT4
RAB20,EIF3K,SLC35E3,BAX,TCEAL8,UBC,PTPRF,CLNS1A,ZFAS1,PIP4K2A,HOTAIRM1,NFIX,RETSAT,TTC9
UQCRQ,VCL,KLHL6,NCEH1,PRKAR1A,LY86,SNX25,C1orf21,MECOM,ARL4A,CAT,FAM127A,MALL,PGAP1
SNRPD2,ABCD3,COLGALT1,RMDN3,MYDGF,CD36,HMHA1,ASPH,AREG,RNF149,MIDN,ARHGDIB,ZDHHC7,DNAJC16
PLSCR1,TMEM41A,ABCA1,MTHFD2,SLC31A2,PHLDA3,GIPC1,LDHB,CLIC1,GALC,CCL23,MALL,S100A9,TSNAXIP1
FAM129B,RAD21,IGFBP2,NFIC,CNTRL,ATOX1,CD46,SH3KBP1,ABHD2,N4BP2L2,LXN,LYN,MNDA,USP43
DDX5,SLC5A3,USP15,TAOK3,TOP1,CCL3,AKAP1,WWC3,PFN1,ALOX15B,SERPINB6,ANTXR2,AMOTL1,PKD1
MMP24-AS1,KIAA1522,SH2B3,EMC7,MGAT1,CES1,HPGD,SYNE2,PXN,EMP1,APLP2,MIR22HG,RORA,ANKRD37
IGSF6,SLC12A2,CMIP,B3GNT5,C19orf33,TGM2,ATF4,NDUFB9,PILRA,MMP19,RNF144B,PECAM1,GNA11,CACNG6
COX7A2,FAM174B,XAF1,TSC22D3,SGK1,SLC31A2,CH17-340M24.3,ITGA3,CSNK1E,FKBP5,LAMP3,UQCR10,TNKS1BP1,WDR35
VMP1,CISD1,PLEKHO2,CD164,SP140L,SPATS2L,TNFSF10,SEPW1,MPC1,HAVCR2,TREM1,PEBP4,PHACTR2,CLHC1
POMP,ALDH6A1,LAMTOR1,PSMB1,MYOF,GLDN,CEACAM6,RND3,RBM39,NEDD9,PKP4,DUSP1,COTL1,C15orf65
MRPS15,RUFY3,DPH3,TNFRSF21,LMO7,C3,GSTA4,C1orf116,NOTCH1,CAPG,PEBP1,BCL2A1,CYBB,KNDC1
ARRB2,PLEKHA5,STAT1,COPE,SLCO2B1,PLSCR1,SIGLEC9,ATP11A,TMBIM4,GLDN,IGSF6,PRNP,ABI2,SLC4A8
RAB14,FKBP2,ABRACL,F11R,SOCS3,SDR16C5,DESI2,SHROOM3,TYMP,RASSF5,FZD6,TLN1,AKAP11,CCDC157
SVIL,MCCC1,GNS,IL7R,SPINT2,FAM213A,OCLN,POR,CSNK1A1,ITGB6,HCST,NAP1L1,RPS27,DNER
LGALS9,PLA2G12A,CCDC85B,CRIP1,ICAM1,S100A14,HHIP-AS1,ZYX,DCXR,HMGCS1,PEBP4,CD99,RPS14,HSD11B1L
FDFT1,SEL1L3,AMIGO2,EIF1B,VAT1,LINC00998,BCAM,CTSL,YBX3,MEF2C,RUNX1,SLC7A7,ALOX5,CCDC151
CLDN18,PIGA,DOCK11,MFSD1,SOAT1,FNDC3B,AKR1C3,CELF2,SERF2,PARD6B,RGL2,MAFF,VEZT,TTC30B
LAMTOR2,HDGF,CIB1,HEBP2,IDH1,MAFB,VIMP,BRK1,CCDC14,SUSD2,WFDC2,SBDS,ATXN2,IL5RA
EZR,FZD5,HIGD2A,MRPS15,SPCS3,PLA2G1B,TFCP2L1,LAMTOR5,RYK,GLRX,RNASET2,HLA-C,ABHD17C,RAD9A
EPCAM,TANC1,SCCPDH,EFHD2,NCF2,RP11-160E2.6,PRDX6,LINC01272,SEC11A,RBP4,SSH1,LRRK2,CRK,TTC29
SMIM22,PRR15L,DYNC1I2,MPC1,PPARG,ABCA3,NCKAP1,CYR61,NFATC3,PTPN13,NUPR1,SLCO2B1,EPDR1,TMEM45B
TMEM245,CDC42EP1,PHLDA1,PGK1,RMDN3,CYBRD1,CFAP97,MGAT1,SAMSN1,SFTA1P,S100A14,NRP1,SPARC,LRRC49
LMO3,DSP,PLA2G7,FLNA,PHPT1,SLC39A8,TCEA1,CTSD,SFTPB,AP1S2,PLIN2,UPP1,FBP1,SYTL3
KIF5B,AMD1,MYO9B,ZFP36,POR,B3GNT5,ACOT7,GPX4,PCOLCE2,MAFB,S100A13,C4BPA,GPSM3,NSUN7
NCF2,RAB27B,SLC43A2,ETHE1,SELK,USMG5,GGA2,HES1,NF1,ABRACL,FAM198B,RNASET2,ANKRD13A,IFT140
NKX2-1,CBX5,TNFSF12,DDIT4,NENF,CXCL3,ARHGAP4,SEC11C,NFE2L2,GJA1,CYBB,MAP4K4,MKNK2,LINC00094
RUNX1,SMARCA5,ARRDC4,Sep-11,MAFB,SAMSN1,MSRB1,CDC42SE2,CEBPB,ARFGEF3,RPL3,ITGB2,CELF2,RP4-625H18.2
HSPA13,RPL31,YWHAG,MAST4,TUBA1C,MAOA,STARD10,TMEM97,FAM213A,CRIP1,ADGRE5,CAT,CACNA2D2,TMEM254
EIF4EBP1,WWC2,PIK3AP1,RHOA,NFKB2,PON2,TCEA3,RP11-259K15.2,RAB20,CD14,FCGR2A,MBNL2,EGLN2,DRC7
BEX4,SLC40A1,SPATS2L,LAMTOR1,ELF3,ELF3,PDE4B,MAP2K1,NGFRAP1,ATP6V0B,MGST2,AREG,RPS24,BCAS3
RAN,AFF3,AZI2,C20orf24,NKX2-1,LIPA,PRSS8,RP5-839B4.8,EIF1,HERPUD1,CCL18,LAIR1,CASZ1,NLRP1
KRT7,SLC9A3R2,BTK,COMT,RPN1,ATP6V0D1,NCEH1,CKB,MSMO1,JUN,ADD1,SDR16C5,HIP1,ANKZF1
MRFAP1,SERPINH1,IL1B,BLVRA,PPT1,SMCO4,PARD6B,IL17RA,GLDN,CYR61,MFNG,S100A14,EIF4G2,PCAT19
ARL6IP1,HACD1,EPSTI1,CTSA,PLEKHB2,ODF2L,ITPR3,FILIP1,HPGD,AKR1C3,SLPI,SLC44A1,CCDC88A,SNHG10
SNHG7,GPD1L,FKBP15,GM2A,NDUFV3,NAP1L4,VEPH1,NDUFA4,RABGAP1,SLCO2B1,ITGB2,NAMPT,TMC4,ZDHHC1
EFHD2,ITGA2,CDC37,AGPAT2,BTG3,SP100,RGS19,SLC1A3,GOLGB1,CCDC88B,DAAM1,H2AFY,KCNQ1OT1,NAT14
HN1,TRAF4,MPEG1,C19orf60,LEPROTL1,MAF,SUB1,EZR,TFDP2,CPEB4,C5AR1,CA12,ITGA2,MORN1
ECHDC1,DDT,GSTK1,RGS2,MTUS1,NFIA,CRTAC1,ZDHHC3,TNKS1BP1,SFN,RCAN1,PGD,PLEKHO1,SOX9
CAPZB,CFAP97,SSB,AQP3,TIMP1,ADAM17,DST,PMP22,PHACTR1,SLC6A14,C2,EDNRB,SNHG18,C10orf95
WWTR1,SLC44A1,DNASE2,MTDH,LGMN,AGPAT2,ID1,HACD3,PAG1,CCL18,SEPW1,DOK2,C3orf58,ERBB4
GPNMB,UGDH,NDUFA1,ACOT7,HPGD,FOLR1,TRAM1,CD63,SH3BGRL,Sep-07,SUN1,EOGT,DPY19L1,LRWD1
EIF3E,ACADL,TCIRG1,SLC1A3,GAA,LRP1,RCN2,GOLGA4,CHD9,CAV1,ITM2B,ATP2B4,RPL10A,ZNF3
FOLR1,CRIM1,GPR183,LILRB4,CCDC88A,PLAC8,PLS3,ECH1,ANKRA2,GLIPR2,DCXR,COX5A,MCEMP1,FAM47E
DDX17,CHPF,CBX3,SNRPB2,DUSP3,AHCYL1,ARHGEF12,FDFT1,TAOK3,CYSLTR1,RGS10,SLC19A2,RPL10,UBE3D
UQCRH,UNC13B,MT-ND5,EI24,RRAGD,SOD2,TIPARP,F11R,GPSM3,STXBP2,FXYD3,LMNA,OCIAD2,FZD6
FGR,FAM46C,HLA-F,ATP6V1B2,TMBIM1,GPRC5A,C11orf96,FNDC3B,CREG1,FLRT3,KAT6A,SLA,GCNT2,MARVELD2
MACROD2,CLIC6,WAS,ATP5H,ACP5,CITED2,YWHAQ,ITGAX,EZR,TACSTD2,PGC,FAM49B,CAPNS1,FAM221A
HMOX1,NFAT5,SNX6,NNMT,TOMM7,ADIRF,LPP,NRGN,CSF3R,CCND1,STARD3,SQRDL,RPL4,WBSCR27
KCTD12,SNHG18,ANXA11,BID,C1orf21,MFSD2A,TMPRSS2,PLPP3,NCKAP1L,PLAC8,MAST4,CD55,AHR,MID1
SCPEP1,RPL8,UGP2,ISCU,SVIL,SRSF7,ANXA4,PDE4DIP,IFI16,CETN2,CD164,C5orf24,PRKCDBP,IFT122
ELF3,GIPC1,PGAM1,CD99,NFE2L2,MPZL2,AIDA,TMBIM6,IFI30,SNX10,FCGR3A,ST6GALNAC6,NDFIP2,PNMA1
FAM213A,RPL18A,HMGB2,ARL6IP1,ZDHHC3,IRX3,TMED10,MT2A,CKLF,TSPYL2,MS4A4A,BMPR2,HCST,SPATA6L
TSPAN4,RYBP,RPS27L,CCR1,IGF2R,PCOLCE2,NFIX,EGR1,TCEB2,HMGN1,CPNE8,IFI30,RPL41,CDC14A
KTN1,MMP28,PLEKHA2,ATP5C1,EIF3F,ID1,AGRP,APOE,SNX2,GDF15,PDLIM7,FTH1,SLC25A4,PRUNE2
EIF1B,MPP7,BEST1,JUNB,CISD2,QKI,SEL1L3,PCDH9,SCPEP1,MT1F,CYP1B1,CSTA,MAFK,C16orf71
MIR4458HG,RPL14,FRMD4A,GTF3A,RNF13,JAK1,SERP1,SP100,LPXN,CHI3L1,PSAP,MDK,CAT,CCL15
ZYX,TFCP2L1,APOBR,IFNGR1,MFSD1,PLBD1,PLEKHO1,ANXA4,ASPH,Sep-09,RAB11FIP1,SLC31A2,RGS10,MBOAT2
TMBIM1,SEC61G,PSMB8,NDUFV2,DONSON,TERF2IP,SGMS2,MOB1A,LAMTOR2,RND3,PML,PEA15,LSR,CCNA1
RPS26,GPRC5C,AQP9,LAMP2,TMEM147,TMEM30A,NTN4,SQLE,SQRDL,S100A8,PGD,NGFRAP1,RPL3,NRAV
SORT1,FAM65B,MYH9,RAB5C,ATP6V0D1,TM4SF1,FAM45A,BTG1,CCNL2,PKIG,LTBP4,MGST1,PYCARD,TULP3
F3,IL20RA,CD44,MAP3K13,CALU,CLDN4,S100A16,TGFB1,DUSP1,BEX4,AGPAT2,AMOTL2,RAB32,LRRC45
SRI,CFAP221,SP100,ACTR3,RIC3,ATP11A,RND3,WASF2,IRX2,SNHG7,PDXK,CLDN18,RPS7,RP11-347J14.7
RHOBTB2,MEGF9,GIMAP4,PDK4,TSPAN3,ACTN1,PSME2,GPNMB,TIA1,C4orf48,GPM6A,UCP2,ELF3,SIX4
PTTG1IP,SH3KBP1,FMNL1,ZBTB8OS,H1F0,PRKAR1A,UGCG,ATPIF1,NFAT5,CYP4B1,HMBOX1,LPCAT1,YBX1,STK36
PPP2CB,PON3,PGK1,CCDC186,MRFAP1,INSR,FCGR1A,ACSL1,YAP1,KRT19,ATP8B1,ADD3,S100A11,RP11-60L3.1
HNRNPF,TMEM98,CSF2RA,KRT10,FCGR2B,CHMP4A,ARHGAP5,BMP2,RNASE1,KLHL6,HLA-A,ARRB2,RPS19,ST8SIA1
SOD3,RAP1GAP,BNIP2,HNRNPH1,FKBP1A,PRDX6,MYO1C,HPCAL1,LGALS1,MS4A6A,PLXND1,PILRA,UBE2H,KIF27
MT-ND2,MTRR,IL2RG,IQGAP2,TUBB4B,KMT2E,RAI14,SKAP2,SLC39A6,SELK,DST,SEC11C,MS4A4A,C5orf45
TMEM87A,FGFR2,DOCK2,HSBP1L1,KRT19,MYO6,EPS8,EIF3L,HHIP,TPPP3,SBNO2,PPIB,MYOF,OXTR
NEDD4L,ANP32E,CLEC4E,IRF2BP2,TMEM97,H2AFY,CYTIP,ATF5,LY86,PNISR,BCL2A1,SOX4,EEF1A1,AHNAK2
CORO1C,PGRMC1,SYK,ATP6AP1,MSMO1,SOAT1,CFDP1,AHCYL1,ROCK2,JARID2,SFTPC,MAT2A,GKN2,ZNHIT2
ACSL4,RCN2,ITGAM,ACER3,TMEM141,RNF19A,SLC7A7,TREM1,C11orf96,IGFBP7,ATP5G3,KCNQ1OT1,TMBIM6,ACKR4
RPS11,MPRIP,GPRIN3,THBD,MYO6,EIF3G,GSTK1,ITM2C,CA2,GSN,SDR16C5,ABI2,SDC4,CCNO
RPLP0,ZDHHC21,GNB4,ATP6V0D1,HHEX,PECAM1,ANK3,AHCYL2,ARRB2,SPCS1,C16orf89,RDH10,ARHGAP21,BICC1
HINT1,EHF,UBE2D1,LENG8,TMEM125,LST1,NRP2,TAP1,PRR13,CHST12,AGR3,RAB34,TUG1,SEC14L4
TSPAN3,MAP9,Sep-07,HSP90AA1,IRS2,ABHD2,IER3,C12orf75,CXCL2,SH3KBP1,LIMA1,FABP4,FCGR2A,DUSP14
COX7A2L,PTPRK,C19orf60,ERP44,EGR1,IDH2,ABHD2,ARF6,GRB2,MIR4435-2HG,HLA-DRB1,AGO2,SYNE1,KIAA0556
RSL1D1,ADGRD1,HBEGF,ECH1,C3,EPS8,CDC42,CAPN2,C4BPA,CXCL16,KBTBD2,ABRACL,MPZL2,MYCBPAP
MYEOV2,RPL34,GPR137B,CAPZA2,RPS12,YWHAG,ZDHHC3,IL6ST,SH3PXD2A,KIDINS220,IL18,ERP29,BTG1,SERTAD4
MIEN1,C14orf132,SMS,UBE2L6,SLC1A5,MID1IP1,NFIB,ODC1,SNX3,ORAI2,ATP5L,CNDP2,GK5,IQUB
NBEAL1,ESRP1,MME,ABHD2,MMP24-AS1,TREM2,GDF15,TGM2,OSCAR,IL4R,S100A6,APP,FGR,AP4M1
PTRHD1,NDFIP2,TCF4,ACTN4,SHTN1,HSD17B12,PSMB10,CAST,CAT,FMNL1,CRIP1,YBX3,GPC4,DIXDC1
CSDE1,TMEM2,COX6B1,DECR1,ERRFI1,HSPA8,CEBPB,ACP5,CES1,C15orf48,ITGAV,THEMIS2,MMS19,FOCAD
REEP3,FERMT2,STK4,EVL,PTPMT1,PSME2,SNX30,ABHD5,NDST1,IRS2,AFF1,MS4A6A,TP53BP2,RALGPS2
TANC2,LURAP1L,CD58,PSMA4,CXCL3,SNX3,EZR,TIPARP,CFL1,CCNG1,OPTN,AASS,LPL,CERKL
CD55,RPS27,PAPSS1,DHRS3,MYEOV2,AHR,BHLHE40,EIF3M,CIRBP,VCAN,ALDH2,EPCAM,SLC16A5,AKAP6
PPP1CB,RP11-462G2.1,SCPEP1,PSMB6,MORF4L2,FPR1,SMIM14,RAB27A,ENG,SYF2,ARPC2,PPARG,MACF1,CEP89
C19orf33,CLDN1,MT-CO1,ALCAM,F3,IRS2,TMEM30A,NUP58,ZKSCAN1,MT-ND6,CREG1,CFL2,AGTPBP1,PVRL4
H1F0,SPRY4,TMEM50A,SH3BP5,COX14,CAPG,PRKCI,GPRIN3,AK1,C7orf73,RP11-14N7.2,ZBTB38,IFI27L1,BBS4
ERRFI1,ARHGAP5,UBA52,PDLIM2,RAB7A,AZI2,QPCT,GJA1,LPCAT1,GABARAP,LRP1,HCK,MACC1,HSPA4L
C7orf73,WASL,MYD88,ZMAT3,LRRFIP1,HHIP,ODC1,MIR3945HG,SERINC2,IFI27,SSR3,NUCKS1,Sep-10,GNA14
ID2,INADL,GBP1,THUMPD3-AS1,CYBRD1,PRPF38B,IFI27,PPP2CB,SPATS2L,AKAP13,IRS2,RILPL2,BTF3,REC8
LARP1B,ELOVL5,LAMP2,CALM1,NNMT,RP5-839B4.8,SECTM1,IGFBP4,NISCH,RPS4Y1,UCP2,MAL2,PEBP4,NR2F2
CSNK1A1,TTC3,ASAP1,PLSCR1,FIS1,TACSTD2,FGD2,CYB5R3,AGPAT2,CMTM3,TAGLN,CCL18,SLCO3A1,GRAMD3
LRP1,CEP70,TMEM176B,CTSH,EPS8,ABRACL,CAV2,C12orf57,BLOC1S1,IL1RN,CPD,TMEM125,GNB2L1,USP2
RNF7,LAMB3,TALDO1,H2AFY,SURF4,CCL18,LAPTM4B,TNFSF12,CPVL,CTGF,STK17B,NDRG1,PTTG1IP,MUC12
TPST2,RPLP1,LAMTOR2,PLA2G1B,PLA2G1B,SNX2,LIPH,PTPN6,CARD16,COTL1,ARRB2,LIPA,CCL18,IL7
CLEC7A,WWTR1,C20orf27,VCAN,MYADM,PSIP1,CLDN3,NEDD9,CXCL3,ZMYND8,PSIP1,FAM3C,FLCN,ACAP1
M6PR,ZRANB2,WDR1,PSME2,CCDC47,SCNN1A,PPP1CA,DDAH2,RRAGD,KLF6,EPCAM,PTPN6,PBX2,SMKR1
DCXR,PTP4A2,CD48,VMP1,LAPTM4A,AQP3,ERBB3,NDUFC1,CCL18,MIER1,MID1IP1,SSBP3,HIST1H1C,CRISP2
C5AR1,PXMP4,TLN1,BTG1,PDIA4,BCL2A1,CAPZB,RAB11FIP1,RP5-839B4.8,MGEA5,FGGY,ARL4A,PRKCI,SLC2A1
SOAT1,GABPB1-AS1,DRAM2,MPHOSPH6,LRPAP1,CCDC85B,C5orf38,IGKC,CD36,EFCAB14,CFLAR,AAMDC,DAB2,CLDN8
DDX21,SLC7A2,ROCK1,RNASE6,KRT7,PPT1,COX17,ACTN4,SERPING1,CHMP4A,HYAL1,ARHGAP18,FAM127A,TSPYL4
SLIRP,CA2,TLR4,FPR3,MCM5,F11R,NDUFC1,FDPS,NBEAL1,JUNB,ITPR1,ITGAX,FCGR3A,FZD3
KLF6,PDZK1IP1,CD300LF,CECR1,ATP5G3,RASSF5,NAPRT,EBP,KCTD12,MAPRE1,PBX1,VMP1,ATP6V1F,AZIN1-AS1
SNHG8,BAD,CD83,AZI2,TMEM173,ZNF385B,TNFRSF12A,CHI3L2,MFSD1,CAMLG,H2AFY,ABCA3,LGALS9,DUSP4
SHTN1,PPP4R1,CSF1R,DHRS7,EIF2S2,STOM,GCC2,DRAM2,FERMT3,SLC4A2,OSMR,TJP1,BCL2A1,RP5-1092A3.4
POR,MYLK,CCDC109B,ESD,SESN3,TSPAN13,FDX1,SNX30,NRGN,KMT2E,RRAS,SMIM22,CERS2,AMPD3
MGST2,DOCK9,IRAK3,CNBP,NDE1,RETN,H1F0,SCGB3A2,PLEK,RSRP1,MAFF,SRGN,RAB3IP,FBXW9
